㐂	
㐆	
㐬	
㐮	
㑨	
㑪	
㒒	
㒵	かお
㒼	
㓁	
㓇	
㓛	
㔟	
㕝	
㕞	
㕣	
㕮	
㖦	
㖨	
㗅	
㗚	
㗴	
㘅	
㙊	
㚑	
㚖	
㚙	
㛏	
㝡	
㝢	
㝫	
㝬	
㝵	
㞍	
㟁	
㟢	
㟨	
㟴	
㟽	
㠀	
㠯	
㠶	
㡀	
㡜	
㡡	
㣺	
㤗	
㤚	
㥯	
㩮	
㩳	
㫖	
㫗	
㫪	
㬎	
㬚	
㬜	
㬢	
㭭	
㭷	
㮇	
㮈	
㮍	
㮤	
㮶	
㯃	
㯍	
㯰	
㰏	
㰦	
㳃	
㳒	
㴑	
㴞	
㵤	
㶚	
㷀	
㷔	
㸅	
㸿	
㹠	
㹦	
㹨	
㺃	
㺔	
㽗	
㽲	
㽵	
㽷	
㾮	
㿉	
㿗	
䀹	
䁘	
䂓	
䄅	
䅈	
䅏	
䅣	
䆴	
䆿	
䇦	
䇮	
䇳	
䈇	
䈎	
䉤	
䋆	
䋖	
䋝	
䌂	
䌫	
䍃	
䏮	
䏰	
䐈	
䐗	
䐜	
䐢	
䑓	
䑛	
䑶	
䑺	
䒑	
䒳	
䒾	
䓔	
䔈	
䔍	
䔥	
䕃	
䖝	
䖸	
䗥	
䗪	
䘏	
䙁	
䙥	
䚡	
䚯	
䜌	
䝤	
䟽	
䠖	
䡄	
䡎	
䢵	
䦰	
䧧	
䧺	
䨄	
䨩	
䪼	
䬻	
䯂	
䯊	
䯒	
䯨	
䰗	
䰠	
䳄	
䳑	
䴇	
䵷	
一	ひと- ひと.つ
丁	ひのと
丂	さまた.げられる
七	なな なな.つ なの
丄	うえ うわ- かみ あ.げる あ.がる あ.がり のぼ.る のぼ.せる のぼ.す よ.す
丅	した しも もと さ.げる さ.がる くだ.る くだ.す くだ.さる お.ろす お.りる
万	よろず
丈	たけ だけ
三	み み.つ みっ.つ
上	うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.せる のぼ.す よ.す
下	した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす お.りる
丌	そ.れ そ.の だい
不	
与	あた.える あずか.る くみ.する ともに
丏	みえぬ
丐	こ.う
丑	うし
丒	うし
且	か.つ
丕	おお.きい
世	よ さんじゅう
丗	よ さんじゅう
丘	おか
丙	ひのえ
丞	すく.う たす.ける
丟	さる なげう.つ
両	てる ふたつ
丣	とり
两	て.る ふたつ
並	な.み なみ なら.べる なら.ぶ なら.びに
丨	すす.む しりぞ.く
丩	まつわる
个	
丫	ふたまた あげまき
丬	
中	なか うち あた.る
丮	も.つ と.る
丯	さんらん.する
丰	みめよ.い しげ.る
丱	
串	くし つらぬ.く
丵	くさのむらがり
丶	
丸	まる まる.める まる.い
丹	に
主	ぬし おも あるじ
丼	どんぶり
丿	えい よう
乀	ま.がる
乁	なが.れる
乂	おさ.める か.る
乃	の すなわ.ち なんじ
乄	し.める して
久	ひさ.しい
乇	
么	
之	の これ おいて ゆく この
乍	-なが.ら たちま.ち
乎	か ああ かな や よ を
乏	とぼ.しい とも.しい
乑	ならびたつ
乕	とら
乖	そむ.く もとる
乗	の.る -の.り の.せる
乘	の.る の.せる
乙	おと- きのと
乚	かく.す かく.れる かか.す よ.る
乜	やぶにらみ
九	ここの ここの.つ
乞	こ.う
也	なり か また
乢	たわ たお
乣	
乨	はじ.める はじ.まる
乩	うらな.う
乱	みだ.れる みだ.る みだ.す みだ おさ.める わた.る
乳	ちち ち
乴	ひね.る
乵	すす.む
乹	かわ.く かわ.かす ほ.す ひ.る いぬい
乾	かわ.く かわ.かす ほ.す ひ.る いぬい
乿	おさ.める
亀	かめ
亂	みだ.れる みだ.る みだ.す みだ.れ おさ.める わた.る
亅	かぎ
了	
予	あらかじ.め
争	あらそ.う いか.でか
亊	こと つか.う つか.える
事	こと つか.う つか.える
