㐂	
㐆	
㐬	
㐮	
㑨	
㑪	
㒒	
㒵	
㒼	
㓁	
㓇	
㓛	
㔟	
㕝	
㕞	
㕣	
㕮	
㖦	
㖨	
㗅	
㗚	
㗴	
㘅	
㙊	
㚑	
㚖	
㚙	
㛏	
㝡	
㝢	
㝫	
㝬	
㝵	
㞍	
㟁	
㟢	
㟨	
㟴	
㟽	
㠀	
㠯	
㠶	
㡀	
㡜	
㡡	
㣺	
㤗	
㤚	
㥯	
㩮	
㩳	
㫖	
㫗	
㫪	
㬎	
㬚	
㬜	
㬢	
㭭	
㭷	
㮇	
㮈	
㮍	
㮤	
㮶	
㯃	
㯍	
㯰	
㰏	
㰦	
㳃	
㳒	
㴑	
㴞	
㵤	
㶚	ハ バ
㷀	
㷔	
㸅	
㸿	
㹠	
㹦	
㹨	
㺃	
㺔	
㽗	
㽲	
㽵	
㽷	
㾮	
㿉	
㿗	
䀹	
䁘	
䂓	
䄅	
䅈	
䅏	
䅣	
䆴	
䆿	
䇦	
䇮	
䇳	
䈇	
䈎	
䉤	
䋆	
䋖	
䋝	
䌂	
䌫	
䍃	
䏮	
䏰	
䐈	
䐗	
䐜	
䐢	
䑓	
䑛	
䑶	
䑺	
䒑	
䒳	
䒾	
䓔	
䔈	
䔍	
䔥	
䕃	
䖝	
䖸	
䗥	
䗪	
䘏	
䙁	
䙥	
䚡	
䚯	
䜌	
䝤	
䟽	
䠖	
䡄	
䡎	
䢵	
䦰	
䧧	
䧺	
䨄	
䨩	
䪼	
䬻	
䯂	
䯊	
䯒	
䯨	
䰗	
䰠	
䳄	
䳑	
䴇	
䵷	
一	イチ イツ
丁	チョウ テイ チン トウ チ
丂	コウ
七	シチ
丄	ジョウ ショウ
丅	カ ゲ
万	マン バン
丈	ジョウ
三	サン ゾウ
上	ジョウ ショウ シャン
下	カ ゲ
丌	キ ゴ
不	フ ブ
与	ヨ
丏	ベン メン
丐	カイ
丑	チュウ
丒	チュウ
且	ショ ソ ショウ
丕	ヒ
世	セイ セ ソウ
丗	セイ セ ソウ
丘	キュウ
丙	ヘイ
丞	ジョウ ショウ
丟	チュウ チュ
両	リョウ
丣	ユウ
两	リョウ
並	ヘイ ホウ
丨	コン シ ジョ ニョ
丩	キュウ
个	カ コ
丫	ア ヤ
丬	
中	チュウ
丮	ケキ キャク
丯	カイ
丰	ホウ フ フウ
丱	カン ケン
串	カン ケン セン
丵	サク
丶	チュ
丸	ガン
丹	タン
主	シュ ス シュウ
丼	トン タン ショウ セイ
丿	ヘツ
乀	フツ ブチ
乁	イ
乂	ガイ カイ ゲ
乃	ナイ ダイ ノ アイ
乄	
久	キュウ ク
乇	タク チャク
么	エウ
之	シ
乍	サ サク
乎	コ オ
乏	ボウ
乑	ギン ゴン シュウ
乕	コ
乖	カイ
乗	ジョウ ショウ
乘	ジョウ
乙	オツ イツ
乚	イン オン
乜	バ メ
九	キュウ ク
乞	コツ キツ キ キケ コチ
也	ヤ エ
乢	ガイ
乣	キュウ
乨	シ
乩	ケイ
乱	ラン ロン
乳	ニュウ
乴	セツ ゼチ
乵	エン
乹	カン ケン
乾	カン ケン
乿	チ ジ
亀	キ キュウ キン
亂	ラン ロン
亅	ケツ
了	リョウ
予	ヨ シャ
争	ソウ
亊	ジ シ ズ
事	ジ ズ
二	ニ ジ
亍	チョク
于	ウ ク
云	ウン
互	ゴ
五	ゴ
井	セイ ショウ
亖	シ
亗	サイ セイ
亘	コウ カン
亙	コウ カン
些	サ シャ
亜	ア
亝	セイ サイ
亞	ア
亟	キョク キ ケ
亠	トウ
亡	ボウ モウ
亢	コウ
交	コウ
亥	ガイ カイ
亦	エキ ヤク
亨	コウ キョウ ホウ
享	キョウ コウ
京	キョウ ケイ キン
亭	テイ チン
亮	リョウ
亯	キョウ コウ
亰	キョウ ケイ キン
亳	ハク
亶	タン セン
亹	ビ ミ ボン モン
人	ジン ニン
亻	
亼	シュウ ジュウ
什	ジュウ シュウ
仁	ジン ニ ニン
